artistName	trackName	y	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	year	popularity	explicit
$tupid Young	Glocc in My Pants (feat. YBN Nahmir)	1.0	0.862	0.691	9	-7.94	1	0.0596	0.298	0.0	0.209	0.632	104.014	129427	2019	40	1
$tupid Young	Wit A Sticc	1.0	0.891	0.73	4	-7.505	0	0.0875	0.206	0.0	0.0953	0.48	106.067	190213	2020	55	1
112	It's Over Now	1.0	0.66	0.71	1	-4.541	1	0.0409	0.0106	7.01e-06	0.0736	0.233	97.988	264933	2001	62	0
2 Chainz	No Lie	1.0	0.634	0.665	6	-5.984	0	0.176	0.0172	0.0	0.365	0.611	131.108	237827	2012	62	1
21:03	Incredible	1.0	0.591	0.948	1	-3.191	1	0.213	0.194	0.0	0.327	0.802	99.117	264493	2011	20	0
26ar	Blacking	1.0	0.8	0.475	4	-9.008	0	0.439	0.635	0.0	0.106	0.499	149.028	141816	2020	33	1
38 Spesh	Thruway Music	1.0	0.452	0.621	1	-5.07	1	0.203	0.0585	0.0	0.107	0.0709	81.36	196923	2018	40	1
4Fate	We Are Number One - Instrumental Version	1.0	0.73	0.903	5	-6.377	0	0.0942	0.0047	0.78	0.024	0.962	161.99	142732	2017	45	0
5 Seconds of Summer	Easier	1.0	0.562	0.46	5	-4.173	1	0.259	0.476	0.0	0.107	0.623	176.055	158099	2020	76	0
A Tribe Called Quest	Electric Relaxation	1.0	0.866	0.534	11	-9.201	1	0.229	0.184	0.266	0.0929	0.841	98.243	226133	1999	67	0
ALLBLACK	Trip On It	1.0	0.922	0.703	1	-4.652	1	0.259	0.271	0.0	0.227	0.685	104.979	210338	2019	59	1
Ab-Soul	Bloody Waters (with Anderson .Paak & James Blake)	1.0	0.507	0.606	8	-8.758	1	0.452	0.185	0.0	0.174	0.202	180.607	272307	2018	61	1
Aesop Rock	None Shall Pass	1.0	0.707	0.683	0	-8.728	1	0.0683	0.184	0.00108	0.108	0.567	116.009	243627	2007	57	0
Aesop Rock	The Gates	1.0	0.691	0.625	0	-8.011	1	0.393	0.00439	0.000698	0.239	0.875	76.205	230773	2020	56	1
Akon	Don't Matter	1.0	0.798	0.443	2	-6.062	1	0.0403	0.244	0.0	0.326	0.354	125.232	293053	2006	67	1
Akon	Right Now (Na Na Na)	1.0	0.832	0.87	8	-4.2	0	0.167	0.267	0.0	0.412	0.566	138.003	240747	2008	67	0
Alan Walker	Spectre	1.0	0.654	0.711	1	-7.437	0	0.0383	0.0214	0.00191	0.0903	0.198	127.957	193788	2017	75	0
Alec Benjamin	Six Feet Apart	1.0	0.492	0.378	5	-7.117	1	0.0304	0.811	0.0	0.136	0.497	110.907	173705	2020	67	0
Alicia Keys	Diary (feat. Tony! Toni! Tone! & Jermaine Paul)	1.0	0.664	0.465	8	-9.711	0	0.0317	0.559	0.00174	0.125	0.281	127.932	284160	2003	57	0
Alicia Keys	Go Ahead	1.0	0.462	0.78	3	-6.756	0	0.0824	0.0722	0.00116	0.109	0.76	162.001	275600	2007	40	0
Alicia Keys	Good Job	1.0	0.408	0.384	8	-5.798	1	0.0368	0.957	0.00164	0.0932	0.394	179.583	233347	2020	32	0
Alicia Keys	Lesson Learned (feat. John Mayer)	1.0	0.681	0.461	9	-8.557	1	0.0525	0.476	3.48e-06	0.342	0.453	121.907	253680	2007	57	0
Alicia Keys	Wreckless Love	1.0	0.478	0.552	1	-6.642	1	0.245	0.171	1.18e-05	0.0661	0.659	180.97	232587	2007	49	0
Alicia Keys	You Don't Know My Name	1.0	0.263	0.663	9	-8.264	1	0.19	0.589	0.00451	0.342	0.25	167.271	366733	2003	62	0
Alicia Keys	ocean eyes - Recorded Live at Jungle City Studios	1.0	0.353	0.148	7	-13.108	1	0.0421	0.934	0.0	0.112	0.297	88.203	184548	2019	69	0
All Time Low	Sleeping In	1.0	0.656	0.955	7	-3.842	1	0.0462	0.00865	0.0	0.342	0.558	105.031	180599	2020	57	0
