artistName	trackName	y	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	type	id	uri	track_href	analysis_url	duration_ms	time_signature	year	popularity	explicit
$tupid Young	Glocc in My Pants (feat. YBN Nahmir)	0	0.862	0.691	9	-7.94	1	0.0596	0.298	0.0	0.209	0.632	104.014	audio_features	01S0BH2KsmbMJje9uYcTGw	spotify:track:01S0BH2KsmbMJje9uYcTGw	https://api.spotify.com/v1/tracks/01S0BH2KsmbMJje9uYcTGw	https://api.spotify.com/v1/audio-analysis/01S0BH2KsmbMJje9uYcTGw	129427	4	2019	40	1
$tupid Young	Wit A Sticc	0	0.891	0.73	4	-7.505	0	0.0875	0.206	0.0	0.0953	0.48	106.067	audio_features	7djcSHHSMbzFbwCxqYl7mR	spotify:track:7djcSHHSMbzFbwCxqYl7mR	https://api.spotify.com/v1/tracks/7djcSHHSMbzFbwCxqYl7mR	https://api.spotify.com/v1/audio-analysis/7djcSHHSMbzFbwCxqYl7mR	190213	4	2020	55	1
112	It's Over Now	0	0.66	0.71	1	-4.541	1	0.0409	0.0106	7.01e-06	0.0736	0.233	97.988	audio_features	769geiA8btidGHda4BBDOJ	spotify:track:769geiA8btidGHda4BBDOJ	https://api.spotify.com/v1/tracks/769geiA8btidGHda4BBDOJ	https://api.spotify.com/v1/audio-analysis/769geiA8btidGHda4BBDOJ	264933	4	2001	62	0
2 Chainz	No Lie	0	0.634	0.665	6	-5.984	0	0.176	0.0172	0.0	0.365	0.611	131.108	audio_features	6j9iyrrmqWlQZ5SD1hSTaq	spotify:track:6j9iyrrmqWlQZ5SD1hSTaq	https://api.spotify.com/v1/tracks/6j9iyrrmqWlQZ5SD1hSTaq	https://api.spotify.com/v1/audio-analysis/6j9iyrrmqWlQZ5SD1hSTaq	237827	4	2012	62	1
21:03	Incredible	0	0.591	0.948	1	-3.191	1	0.213	0.194	0.0	0.327	0.802	99.117	audio_features	0eSr0UhQuhxL4Z0LBodJqu	spotify:track:0eSr0UhQuhxL4Z0LBodJqu	https://api.spotify.com/v1/tracks/0eSr0UhQuhxL4Z0LBodJqu	https://api.spotify.com/v1/audio-analysis/0eSr0UhQuhxL4Z0LBodJqu	264493	4	2011	20	0
26ar	Blacking	0	0.8	0.475	4	-9.008	0	0.439	0.635	0.0	0.106	0.499	149.028	audio_features	6b6fbRu9zShdTPkmU4iZzP	spotify:track:6b6fbRu9zShdTPkmU4iZzP	https://api.spotify.com/v1/tracks/6b6fbRu9zShdTPkmU4iZzP	https://api.spotify.com/v1/audio-analysis/6b6fbRu9zShdTPkmU4iZzP	141816	4	2020	33	1
38 Spesh	Thruway Music	0	0.452	0.621	1	-5.07	1	0.203	0.0585	0.0	0.107	0.0709	81.36	audio_features	4zh3NvTNdI74MYj80Vrb0e	spotify:track:4zh3NvTNdI74MYj80Vrb0e	https://api.spotify.com/v1/tracks/4zh3NvTNdI74MYj80Vrb0e	https://api.spotify.com/v1/audio-analysis/4zh3NvTNdI74MYj80Vrb0e	196923	4	2018	40	1
4Fate	We Are Number One - Instrumental Version	0	0.73	0.903	5	-6.377	0	0.0942	0.0047	0.78	0.024	0.962	161.99	audio_features	1qiDdXKrceRqyetUOIqLmJ	spotify:track:1qiDdXKrceRqyetUOIqLmJ	https://api.spotify.com/v1/tracks/1qiDdXKrceRqyetUOIqLmJ	https://api.spotify.com/v1/audio-analysis/1qiDdXKrceRqyetUOIqLmJ	142732	4	2017	45	0
5 Seconds of Summer	Easier	0	0.562	0.46	5	-4.173	1	0.259	0.476	0.0	0.107	0.623	176.055	audio_features	2bjUEg4jBtKBlPdNrTAppI	spotify:track:2bjUEg4jBtKBlPdNrTAppI	https://api.spotify.com/v1/tracks/2bjUEg4jBtKBlPdNrTAppI	https://api.spotify.com/v1/audio-analysis/2bjUEg4jBtKBlPdNrTAppI	158099	4	2020	76	0
A Tribe Called Quest	Electric Relaxation	0	0.866	0.534	11	-9.201	1	0.229	0.184	0.266	0.0929	0.841	98.243	audio_features	0eEXcw3JLVXcRxYrVYMy68	spotify:track:0eEXcw3JLVXcRxYrVYMy68	https://api.spotify.com/v1/tracks/0eEXcw3JLVXcRxYrVYMy68	https://api.spotify.com/v1/audio-analysis/0eEXcw3JLVXcRxYrVYMy68	226133	4	1999	67	0
